harry
slytherins
goal
alicia
katie
working
whomping
marauders
pettigrews
remus
summer
homework
ink
four
car
funny
alive
gazing
seeing
hesitated
wondering
leapt
middle
pleased
brown
daily
prophet
win
poor
heavy
breakfast
piece
finger
forget
lunch
grip
decided
die
ceiling
bent
fall
fallen
longbottom
slid
leaky
tom
waiting
game
shop
somebody
sharply
seriously
impossible
twenty
crack
hufflepuff
helping
rope
others
hippogriffs
hell
fifty
oliver
cho
also
frowning
pain
spent
notice
expression
dare
oclock
hour
leaned
escaped
attack
sky
landed
soft
gray
thanks
waving
final
says
bet
angrily
grinning
cross
fixed
minute
box
knocked
flat
smiling
live
evening
walls
explain
fence
halt
familiar
repeated
bar
passage
safe
cried
future
arithmancy
definitely
joined
girl
maybe
dumbledores
feast
filled
become
cadogan
rose
practice
seeker
forgotten
butterbeer
secretkeeper
macnair
charm
drive
hoped
speaking
frightened
realized
tomorrow
suppose
clearly
lucky
beak
moon
flying
london
note
change
difficult
missed
longer
helped
blood
subject
wardrobe
shrieking
nodded
eh
single
putting
ones
wiping
expect
effort
expelled
wide
stepped
different
skin
figure
giving
short
using
bin
saved
spotted
tables
hasnt
twice
shadows
scarlet
theyll
midair
seat
breaking
marble
muttering
leaves
ladder
beat
cut
quaffle
bludger
oneeyed
prongs
tunnel
page
known
less
bellowed
obviously
send
stretched
inches
barely
soared
join
ripped
trembling
six
whod
laughed
bound
gleaming
broomsticks
snap
worry
return
marges
wheres
force
escape
forbidden
warning
screamed
stuck
heading
serious
thrown
cornelius
anyway
diagon
alley
excitedly
lose
packed
thomas
meet
checking
ages
lowered
louder
terrified
shining
question
branches
lessons
confused
afternoon
riddikulus
joke
strong
charms
silent
falling
betrayed
ward
possession
flint
highly
secret
write
paused
round
weird
cupboard
living
possible
potions
delighted
jumped
spot
weeks
thirteen
hedwigs
whatever
bright
voldemorts
golden
growing
lower
owls
tied
errol
carried
grin
weasleys
seven
remembered
sun
sneakoscope
loads
knowing
handle
thousand
dogs
monster
sideways
ouch
struggling
village
woke
hot
line
immediately
peered
deal
thoughts
growled
attention
returned
suspiciously
itll
calmly
sighed
fault
clutched
arent
changed
deeply
heaved
means
money
bang
step
calm
fear
forgot
whisper
examining
beaming
parlor
anymore
among
excited
surprise
hurrying
drew
balls
staying
rats
stuffed
hanging
doubt
check
bring
search
compartment
careful
pale
corridors
patch
reach
silvery
mud
applause
beyond
pumpkin
group
animal
harder
fer
trust
conversation
imagine
zonkos
fly
weight
stadium
cheering
moments
wormtail
anybody
exam
executioner
