harry
waited
marble
dormitory
forgotten
footsteps
drive
afraid
severus
cabin
theyll
immediately
join
safe
seven
homework
change
nearer
particularly
classroom
nervously
twelve
cut
hufflepuff
means
terrified
group
single
bellowed
rolled
scared
die
charms
knocked
dog
brown
strode
excellent
figure
beaming
view
landed
poor
minute
spent
fixed
tom
nasty
waving
scabbers
quick
secret
changed
afternoon
playing
present
using
tail
live
wind
shop
page
hurrying
flitwick
approached
stretched
gray
growled
doubt
explain
hissed
visit
angelina
twice
fall
moments
conversation
firebolt
obviously
sideways
putting
skin
finger
definitely
frowning
deserted
oclock
subject
asleep
seriously
leaned
broomstick
corridors
screaming
missed
dare
fighting
cage
deal
notice
tables
fly
trembling
tomorrow
helped
inches
gryffindors
twenty
grass
fallen
spotted
hanging
defense
forget
excitedly
worst
thrown
hot
shining
falling
highly
buckbeak
eat
eh
sank
term
cat
tight
snarled
frightened
lily
force
carried
muttering
form
thoughts
lucky
knowing
grabbed
practice
fer
scarlet
check
lady
village
potters
trust
strong
reach
stuck
whisper
furious
anymore
flat
fault
hesitated
careful
growing
fifty
cornelius
glittering
packed
familiar
deeply
gleaming
pettigrew
cupboard
soft
loads
soared
midair
bin
birthday
katie
holidays
excited
lunch
crack
halt
quaffle
bludger
saved
calmly
louder
joke
money
broomsticks
patch
divination
imagine
escape
itll
feast
rain
bound
ink
thousand
longbottom
headed
lowered
escaped
sighed
serious
warning
bang
anybody
patronus
chocolate
grip
sun
silvery
compartment
harder
alley
wings
final
among
stadium
write
win
effort
breaking
expelled
heading
vernons
forbidden
checking
weight
lower
tied
delighted
paused
dementor
cross
applause
hoped
shadows
impossible
leaves
calm
weird
ages
struggling
stan
wheres
peered
london
locked
abruptly
butterbeer
game
ripped
confused
forgot
helping
werewolf
beat
passage
goal
grin
rat
innocent
examining
staying
stuffed
lose
clutched
seeker
blacks
handle
classes
diagon
essay
hippogriff
woke
crystal
search
pumpkin
marge
monster
wiping
thirteen
balls
bus
roots
peter
future
beak
bar
lupins
thomas
alicia
remus
rosmerta
whod
moon
tunnel
ward
exam
permission
trelawneys
marauders
branches
heaved
hedwigs
boggart
ouch
possession
knight
bags
cheering
wardrobe
leaky
suspiciously
hooch
grim
expecto
snap
nimbus
shrieking
oliver
willow
flint
rope
patronum
mud
rats
honeydukes
betrayed
animal
fence
arithmancy
whomping
sneakoscope
ern
buckbeaks
committee
macnair
errol
ladder
dogs
cadogan
secretkeeper
riddikulus
hippogriffs
zonkos
pettigrews
marges
oneeyed
prongs
parlor
executioner
