the
YOU
enormous
past
When
these
light
raised
At
havent
thats
turn
staircase
telling
Malfoys
roared
appeared
Theres
sound
together
bag
Minister
Goyle
boggart
read
however
lot
held
either
owl
shouted
corner
Not
sort
kill
place
run
entrance
Petunia
loudly
walked
always
shoulder
taking
sit
shaking
making
pointing
close
understand
Ravenclaw
nearly
parents
One
teacher
seized
friends
holding
James
taken
supposed
chest
watch
pointed
ask
In
lesson
climbed
corridor
office
times
parchment
picked
word
almost
rather
ten
shut
tree
fast
neck
idea
pocket
breath
followed
moving
Right
usual
Christmas
fire
noise
Lavender
werewolf
Patronus
book
Muggles
use
thin
Did
person
form
alone
since
Where
please
many
For
Dursleys
start
loud
threw
remember
hundred
extremely
point
heart
silver
leg
leaving
speak
chair
Invisibility
cat
chocolate
steps
closed
students
near
Thats
Severus
catch
themselves
trouble
foot
Muggle
five
Hedwig
finished
aside
eye
Mrs
someone
isnt
words
hurried
train
walking
broke
saying
Ern
except
screaming
portrait
Tower
points
stomach
glasses
On
least
used
letter
gold
sorry
beneath
theres
huge
youll
everything
Get
youd
wrong
quiet
burst
Cloak
horrible
My
passed
Against
Arts
An
Okay
gasped
Cup
Youre
try
Everyone
Weve
Great
CHAPTER
teachers
chance
week
meant
arms
silence
killed
sign
name
heads
desk
stay
shall
wind
such
wall
several
met
low
listening
Defense
fact
wing
running
Honeydukes
Rosmerta
real
street
bad
tail
cabin
visit
Very
doors
Go
red
above
Divination
reckon
hole
Filch
Willow
innocent
herself
Dudley
voices
call
wizards
ear
completely
upon
whether
third
hope
straight
does
thick
hissed
Er
starting
Just
ran
half
werent
mad
Magical
Are
hold
okay
having
sent
hospital
patronum
listen
cage
house
died
legs
furiously
glass
brought
doesnt
managed
shot
whose
tears
laughter
clear
Do
news
angry
ears
white
fingers
worse
backward
beside
trees
hours
crystal
death
dad
looks
Parvati
Trelawneys
became
lying
magic
given
hidden
direction
friend
turning
lay
carrying
Two
Look
stuff
snapped
theyd
far
upstairs
memory
yourself
story
kind
deserted
With
windows
wearing
disappeared
approached
continued
deep
matter
Creatures
entered
Is
Were
stone
ahead
Flitwick
Buckbeaks
Peeves
nose
teeth
stairs
grabbed
worst
Granger
broken
green
Of
seconds
wings
picture
Ginny
term
glanced
whats
pair
nervously
hiding
pulling
stand
smile
free
YouKnowWho
laughing
darkness
Miss
strode
Dean
dropped
truth
nearer
headed
cup
rain
vanished
Hall
Grim
o
roots
Hooch
Committee
afraid
bottle
carefully
family
reason
talk
answer
TO
late
soon
Lily
instead
water
theyre
world
Can
seem
dangerous
knees
tightly
permission
walk
indeed
true
hardly
tight
apart
needed
abruptly
shook
happen
exactly
arrived
twelve
sank
covered
Nothing
em
job
Seamus
Gryffindors
tonight
waited
closely
wands
wants
knows
scared
lake
wait
grass
forest
Angelina
Potters
Expecto
holidays
forced
essay
Was
closer
allowed
locked
number
days
break
Vernons
opposite
flew
present
won
Dad
happily
ago
House
Nimbus
view
edge
asleep
added
Even
snarled
furious
sudden
finally
hat
myself
AND
hurt
pushed
big
rolled
Knight
lets
led
Ah
throat
laugh
slipped
ball
Three
Your
bags
glittering
playing
dormitory
Good
potion
ill
spoke
Slytherins
goal
Sir
Alicia
Katie
working
Whomping
Pettigrews
Remus
summer
particularly
funny
birthday
worried
alive
hesitated
leapt
middle
pleased
paper
Daily
win
heavy
ready
Please
breakfast
piece
today
shes
mother
finger
Youll
footsteps
boys
grip
decided
die
ceiling
bent
high
fall
fallen
Longbottom
sleep
slid
classes
After
Tom
waiting
game
fighting
sharply
impossible
headmaster
Shes
terrible
Hufflepuff
rope
others
fifty
Something
Cho
homework
also
frowning
pain
ink
spent
broomstick
nasty
car
notice
aunt
expression
oclock
leaned
escaped
sky
seeing
wondering
landed
soft
gray
Prophet
bet
angrily
grinning
within
fixed
care
minute
box
fat
See
knocked
flat
smiling
live
Excellent
Have
lunch
evening
walls
certainly
fence
halt
bus
Bus
er
familiar
Leaky
repeated
bar
passage
cried
shop
Arithmancy
theyve
joined
Dumbledores
dyou
feast
filled
quick
become
Let
Cadogan
helping
stupid
Or
rose
practice
Oliver
forgotten
Fat
gazing
Marauders
Macnair
probably
four
hoped
speaking
OF
realized
hour
Lord
attack
beak
moon
waving
flying
London
final
note
says
difficult
missed
longer
subject
forget
fine
yes
nodded
single
putting
ones
wiping
expect
effort
expelled
wide
stepped
Listen
different
skin
Cauldron
figure
safe
eat
short
Here
using
spotted
tables
shadows
Didnt
Theyre
twenty
scarlet
Who
midair
seat
breaking
marble
nobody
ladder
hippogriffs
beat
tower
cut
unless
Seeker
butterbeer
Because
Bludger
oneeyed
Map
SecretKeeper
tunnel
page
known
less
bellowed
frightened
obviously
tomorrow
stretched
suppose
inches
clearly
lucky
perhaps
soared
join
ripped
trembling
Head
poor
Mum
Boy
change
bound
gleaming
worry
return
helped
blood
wardrobe
Wheres
Youd
warning
screamed
heading
serious
explain
thrown
Never
don
Cornelius
Diagon
Alley
excitedly
lose
packed
Thomas
checking
saved
hasnt
lowered
louder
terrified
giving
muttering
shining
question
leaves
branches
lessons
confused
afternoon
Quaffle
Lady
Charms
Headmaster
somebody
falling
Prongs
betrayed
ward
possession
Flint
write
paused
round
cupboard
living
possible
delighted
uncle
jumped
spot
wizarding
weeks
send
Hedwigs
whatever
bright
Voldemorts
growing
lower
tied
Errol
carried
grin
Weasleys
six
Dear
whod
remembered
sun
Sneakoscope
laughed
magical
dogs
sideways
struggling
village
hot
line
immediately
peered
deal
Marges
thoughts
growled
attention
returned
suspiciously
calmly
sighed
fault
clutched
force
changed
eh
escape
deeply
Only
heaved
means
money
step
fear
whisper
examining
Finally
Before
Youve
beaming
anymore
among
excited
surprise
hurrying
drew
Thank
below
meet
mum
rats
itself
stuffed
hanging
definitely
ages
girl
doubt
seriously
twice
bring
compartment
Both
UP
Shrieking
pale
corridors
patch
reach
silvery
mud
applause
beyond
group
harder
Yeh
fer
conversation
Riddikulus
Zonkos
fly
silent
weight
stadium
expecto
anybody
exam
HE
executioner
